wheelbase,carlength,carwidth,curbweight,enginesize,boreratio,horsepower,citympg,highwaympg,price,gas,five,four,six,three,twelve,two,fwd,rwd,turbo,hardtop,hatchback,sedan,wagon
88.6,168.8,64.1,2548,130,3.47,111,21,27,13495.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
88.6,168.8,64.1,2548,130,3.47,111,21,27,16500.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
94.5,171.2,65.5,2823,152,2.68,154,19,26,16500.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
99.8,176.6,66.2,2337,109,3.19,102,24,30,13950.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
99.4,176.6,66.4,2824,136,3.19,115,18,22,17450.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
99.8,177.3,66.3,2507,136,3.19,110,19,25,15250.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
105.8,192.7,71.4,2844,136,3.19,110,19,25,17710.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
105.8,192.7,71.4,2954,136,3.19,110,19,25,18920.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
105.8,192.7,71.4,3086,131,3.13,140,17,20,23875.0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
99.5,178.2,67.9,3053,131,3.13,160,16,22,17859.167,1,1,0,0,0,0,0,0,0,1,0,1,0,0
101.2,176.8,64.8,2395,108,3.5,101,23,29,16430.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
101.2,176.8,64.8,2395,108,3.5,101,23,29,16925.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
101.2,176.8,64.8,2710,164,3.31,121,21,28,20970.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
101.2,176.8,64.8,2765,164,3.31,121,21,28,21105.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
103.5,189.0,66.9,3055,164,3.31,121,20,25,24565.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
103.5,189.0,66.9,3230,209,3.62,182,16,22,30760.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
103.5,193.8,67.9,3380,209,3.62,182,16,22,41315.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
110.0,197.0,70.9,3505,209,3.62,182,15,20,36880.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
88.4,141.1,60.3,1488,61,2.91,48,47,53,5151.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
94.5,155.9,63.6,1874,90,3.03,70,38,43,6295.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
94.5,158.8,63.6,1909,90,3.03,70,38,43,6575.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
93.7,157.3,63.8,1876,90,2.97,68,37,41,5572.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
93.7,157.3,63.8,1876,90,2.97,68,31,38,6377.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
93.7,157.3,63.8,2128,98,3.03,102,24,30,7957.0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
93.7,157.3,63.8,1967,90,2.97,68,31,38,6229.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
93.7,157.3,63.8,1989,90,2.97,68,31,38,6692.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
93.7,157.3,63.8,1989,90,2.97,68,31,38,7609.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
93.7,157.3,63.8,2191,98,3.03,102,24,30,8558.0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
103.3,174.6,64.6,2535,122,3.34,88,24,30,8921.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
95.9,173.2,66.3,2811,156,3.6,145,19,24,12964.0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
